"","x_pred","x","d","w","ele_arcpro","dist_diff","slope_mid","slope_up","catchment_ha","site"
"256",1018.419034,1105,NA,NA,3898.608398,NA,NA,NA,193.8105,"Colm"
"257",1022.674367,1109,18,88,3898.608398,NA,NA,NA,193.8123,"Colm"
"258",1023.692273,1110,22,104,3898.608398,10,0,0,193.8123,"Colm"
"259",1033.871325,1120,19,121,3898.608398,10,0,0,193.815,"Colm"
"260",1044.050378,1130,7,60,3898.608398,10,0,0,193.8177,"Colm"
"261",1054.229431,1140,10,60,3898.608398,10,0,0,193.8213,"Colm"
"262",1062.372673,1148,NA,NA,3898.608398,NA,NA,NA,193.8222,"Colm"
"263",1064.408483,1150,13,83,3898.608398,10,0,0,193.8249,"Colm"
"264",1071.979626,1156,31,58,3898.608398,NA,NA,NA,193.8258,"Colm"
"265",1075.625339,1160,33,122,3898.608398,10,0,0,193.8276,"Colm"
"266",1084.739621,1170,48,87,3898.608398,10,0,0,193.8303,"Colm"
"267",1093.853903,1180,65,105,3898.608398,10,0,0,193.833,"Colm"
"268",1102.968186,1190,43,142,3898.608398,10,0,0,193.8357,"Colm"
"269",1112.082468,1200,31,181,3898.608398,10,0,0,193.8375,"Colm"
"270",1122.876847,1210,17,91,3898.608398,10,0,0,193.8402,"Colm"
"271",1128.411373,1216,NA,NA,3898.608398,NA,NA,NA,193.8429,"Colm"
"272",1132.101058,1220,70,80,3898.608398,10,0,0,193.8438,"Colm"
"273",1141.325269,1230,100,98,3898.608398,10,0,0,193.8465,"Colm"
"274",1150.54948,1240,44,78,3898.608398,10,0,0,193.8492,"Colm"
"275",1159.773691,1250,30,170,3898.608398,10,0,0,193.8519,"Colm"
"276",1165.262869,1260,54,102,3898.608398,10,0,0,193.8555,"Colm"
"277",1169.105293,1267,25,100,3898.608398,NA,NA,NA,194.2452,"Colm"
"278",1172.60181,1270,78,40,3898.608398,NA,0,0,194.31,"Colm"
"279",1184.256868,1280,43,80,3898.608398,10,0,0,194.4693,"Colm"
"280",1195.911927,1290,51,93,3898.608398,10,0,0,194.6727,"Colm"
"281",1207.566985,1300,52,90,3898.608398,10,0,0,194.8221,"Colm"
"282",1209.708346,1302,NA,NA,3898.608398,NA,NA,NA,208.9215,"Colm"
"283",1212.613511,1305,NA,NA,3898.608398,NA,NA,NA,209.7243,"Colm"
"284",1217.455452,1310,25,125,3898.608398,10,0,0,210.1815,"Colm"
"285",1227.139335,1320,120,250,3898.608398,10,0,0,210.2562,"Colm"
"286",1236.823218,1330,35,145,3898.608398,10,0,0,210.3291,"Colm"
"287",1239.162201,NA,NA,NA,3898.608398,NA,NA,NA,210.3669,"Colm"
"288",1246.5071,1340,62,93,3898.608398,10,0,0,210.3696,"Colm"
"289",1256.190983,1350,58,105,3898.608398,10,0,0,210.3777,"Colm"
"290",-10,-10,NA,NA,4098.271973,NA,NA,NA,75.474,"GaviDown"
"291",0,0,NA,NA,4098.271973,NA,NA,NA,75.474,"GaviDown"
"292",1.579386786,5,28,61,4098.271973,NA,NA,NA,75.474,"GaviDown"
"293",2.842896216,9,17,83,4098.271973,10,0.014265177,2.67658e-08,81.6939,"GaviDown"
"294",13.17601052,18,NA,NA,4098.472656,NA,NA,NA,81.729,"GaviDown"
"295",14.0680585,19,19,90,4098.472656,10,0.009961626,0.008338147,81.729,"GaviDown"
